0	1
0	2
0	4
0	5
0	9
0	10
0	11
0	14
0	22
1	0
1	4
1	5
1	9
1	10
1	11
1	14
1	22
2	0
2	4
2	8
2	11
2	12
2	14
2	15
2	19
2	20
3	6
3	7
3	9
3	10
3	12
3	13
3	16
3	17
3	20
3	21
4	0
4	1
4	2
4	5
4	9
4	11
4	14
4	22
5	0
5	1
5	4
5	9
5	10
5	11
5	14
5	22
6	3
6	7
6	9
6	10
6	11
6	12
6	16
6	17
6	20
7	3
7	6
7	8
7	12
7	13
7	17
7	18
7	20
7	21
8	2
8	7
8	12
8	15
8	17
8	18
8	19
8	21
9	0
9	1
9	3
9	4
9	5
9	6
9	10
9	11
9	14
9	16
9	20
9	22
10	0
10	1
10	3
10	5
10	6
10	9
10	16
10	22
11	0
11	1
11	2
11	4
11	5
11	6
11	9
11	14
11	15
11	19
11	22
12	2
12	3
12	6
12	7
12	8
12	13
12	15
12	17
12	18
12	19
12	20
12	21
13	3
13	7
13	12
13	16
13	17
13	18
13	20
13	21
14	0
14	1
14	2
14	4
14	5
14	9
14	11
14	22
15	2
15	8
15	11
15	12
15	17
15	18
15	19
15	20
16	3
16	6
16	9
16	10
16	13
16	17
16	20
16	22
17	3
17	6
17	7
17	8
17	12
17	13
17	15
17	16
17	18
17	19
17	20
17	21
18	7
18	8
18	12
18	13
18	15
18	17
18	19
18	20
18	21
19	2
19	8
19	11
19	12
19	15
19	17
19	18
19	20
19	21
20	2
20	3
20	6
20	7
20	9
20	12
20	13
20	15
20	16
20	17
20	18
20	19
20	21
21	3
21	7
21	8
21	12
21	13
21	17
21	18
21	19
21	20
22	0
22	1
22	4
22	5
22	9
22	10
22	11
22	14
22	16
